127.0.0.1 - - [29/Aug/2022:18:53:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Aug/2022:18:53:58 +0900] "GET /RealEstate/ HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [29/Aug/2022:18:53:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Aug/2022:18:54:05 +0900] "GET /RealEstate/home HTTP/1.1" 200 61299
0:0:0:0:0:0:0:1 - - [29/Aug/2022:18:54:05 +0900] "GET /cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js HTTP/1.1" 404 885
0:0:0:0:0:0:0:1 - - [29/Aug/2022:18:54:05 +0900] "GET /RealEstate/resources/images/3.JPG;jsessionid=7090F61279A31B0757D2F55DE961EC58 HTTP/1.1" 200 68358
0:0:0:0:0:0:0:1 - - [29/Aug/2022:18:54:05 +0900] "GET /RealEstate/resources/images/4.jpg;jsessionid=7090F61279A31B0757D2F55DE961EC58 HTTP/1.1" 200 84886
0:0:0:0:0:0:0:1 - - [29/Aug/2022:18:54:05 +0900] "GET /RealEstate/resources/images/hero_bg_2.jpg;jsessionid=7090F61279A31B0757D2F55DE961EC58 HTTP/1.1" 200 626879
0:0:0:0:0:0:0:1 - - [29/Aug/2022:18:54:05 +0900] "GET /RealEstate/resources/images/hero_bg_3.jpg;jsessionid=7090F61279A31B0757D2F55DE961EC58 HTTP/1.1" 200 584370
0:0:0:0:0:0:0:1 - - [29/Aug/2022:18:54:05 +0900] "GET /RealEstate/resources/images/hero_bg_1.jpg;jsessionid=7090F61279A31B0757D2F55DE961EC58 HTTP/1.1" 200 428074
0:0:0:0:0:0:0:1 - - [29/Aug/2022:18:54:05 +0900] "GET /RealEstate/resources/images/2.png;jsessionid=7090F61279A31B0757D2F55DE961EC58 HTTP/1.1" 200 682189
0:0:0:0:0:0:0:1 - - [29/Aug/2022:18:54:05 +0900] "GET /RealEstate/resources/images/6.jpg;jsessionid=7090F61279A31B0757D2F55DE961EC58 HTTP/1.1" 200 61635
0:0:0:0:0:0:0:1 - - [29/Aug/2022:18:54:05 +0900] "GET /RealEstate/resources/images/7.jpg;jsessionid=7090F61279A31B0757D2F55DE961EC58 HTTP/1.1" 200 71121
0:0:0:0:0:0:0:1 - - [29/Aug/2022:18:54:05 +0900] "GET /RealEstate/resources/images/5.jpg;jsessionid=7090F61279A31B0757D2F55DE961EC58 HTTP/1.1" 200 861641
0:0:0:0:0:0:0:1 - - [29/Aug/2022:18:54:05 +0900] "GET /RealEstate/resources/images/person_4.jpg;jsessionid=7090F61279A31B0757D2F55DE961EC58 HTTP/1.1" 200 31210
0:0:0:0:0:0:0:1 - - [29/Aug/2022:18:54:05 +0900] "GET /RealEstate/resources/images/person_3.jpg;jsessionid=7090F61279A31B0757D2F55DE961EC58 HTTP/1.1" 200 25305
0:0:0:0:0:0:0:1 - - [29/Aug/2022:18:54:05 +0900] "GET /RealEstate/resources/images/left.png;jsessionid=7090F61279A31B0757D2F55DE961EC58 HTTP/1.1" 200 3091
0:0:0:0:0:0:0:1 - - [29/Aug/2022:18:54:05 +0900] "GET /RealEstate/resources/images/person_1.jpg;jsessionid=7090F61279A31B0757D2F55DE961EC58 HTTP/1.1" 200 28109
